Region,Date,Tempmax,Tempmin,Temperature,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precipitation,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Sealevelpressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Severerisk,Sunrise,Sunset,Moonphase,Conditions,Description,Icon,Stations
auvergne rhone alpes,2013-01-11,7.7,2.9,5.9,5.8,2.8,4.1,2.9,81.8,5.051,100,54.17,rain,0,0,33.3,21,308.7,1018,97.8,37.3,32.9,2.7,2,,2013-01-11T08:19:51,2013-01-11T17:17:48,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-12,4,-1.3,1.6,4,-3.9,0.9,0.4,91.9,0.01,100,4.17,rain,0,0,28.9,8.8,128.7,1016.9,69.4,6.4,51.8,4.5,2,,2013-01-12T08:19:25,2013-01-12T17:19:01,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-13,5.9,2.6,4.1,4,1.2,2.5,2.2,87.2,0.562,100,29.17,rain,0,0,25.9,17.5,2.1,1012,97.5,9.4,38.3,3.1,2,,2013-01-13T08:18:56,2013-01-13T17:20:16,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-14,4.2,-2.8,1.9,1.9,-4,-1.6,-1.4,79,0.037,100,8.33,rain,0,0,30.7,21.5,343.7,1014.7,87,18.2,46.4,3.9,2,,2013-01-14T08:18:24,2013-01-14T17:21:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-15,2.9,-3.2,-0.2,1.8,-6.2,-2.5,-2.6,84.1,3.299,100,50,"rain,snow",2.8,1.6,35.3,17.4,218,1010.1,92.8,14.5,48.7,4.3,3,,2013-01-15T08:17:50,2013-01-15T17:22:50,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-16,1.2,-6.6,-2.3,-1.3,-8.6,-4.8,-5.2,81,0,0,0,,0,2,38.9,19.7,358.7,1009.6,30.8,15.1,82.3,7,4,,2013-01-16T08:17:14,2013-01-16T17:24:08,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-17,-2.6,-4.3,-3.3,-8.3,-12.2,-10.1,-7.6,72.1,0,0,0,,0,1.8,50.2,32.8,345.7,1015,92.6,12,58,5,3,,2013-01-17T08:16:35,2013-01-17T17:25:28,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-18,-1.2,-4.3,-3,-2.2,-9,-5.5,-6.8,74.9,0.182,100,4.17,"rain,snow",0,1.3,22.5,17.2,22.2,1007.8,87.2,8.2,65.1,5.5,3,,2013-01-18T08:15:54,2013-01-18T17:26:48,0.22,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-19,2.9,-0.5,1.8,2.5,-4,-1,0.1,88.7,1.401,100,58.33,"rain,snow",0.6,0.7,27.8,15.4,102.2,991.3,99.8,7.3,31.8,2.6,2,,2013-01-19T08:15:10,2013-01-19T17:28:10,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-20,9.2,-0.2,2.7,6.3,-3.1,0.7,1.1,89.2,3.103,100,41.67,"rain,snow",0.4,1.3,40.1,22.5,9.6,991.9,94.2,10.5,44.8,4,2,,2013-01-20T08:14:24,2013-01-20T17:29:32,0.28,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-21,6.5,-1.2,2.7,4.2,-3.2,0.6,-0.8,79,0.031,100,4.17,rain,0,0.4,29.5,17.7,185.5,1000.3,84.8,20.7,53.1,4.5,2,,2013-01-21T08:13:36,2013-01-21T17:30:55,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-22,9.6,0.8,4.4,7.7,-1.6,2.4,-0.6,71.4,0.016,100,4.17,rain,0,0,36.9,17.7,160.6,1004.9,51.1,44.2,79.2,6.8,3,,2013-01-22T08:12:45,2013-01-22T17:32:19,0.35,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-23,4.4,-1.2,1.5,3.3,-1.9,0.8,-1.1,83.2,0,0,0,,0,0,18.1,13.1,20.4,1005.7,75.7,14.3,65.8,5.6,3,,2013-01-23T08:11:52,2013-01-23T17:33:43,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-24,2.7,-0.2,1.2,2.4,-4.4,-2.7,-1.7,81.6,0,0,0,,0,0,44.6,25.3,358.9,1009.1,98.5,14.4,70.5,6.2,4,,2013-01-24T08:10:57,2013-01-24T17:35:09,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-25,0.9,-3.5,-0.4,-4.1,-6.9,-5,-4.5,74.2,0,0,0,,0,0,38.3,23.1,346.8,1017,83.2,9.7,105.8,9.2,5,,2013-01-25T08:10:00,2013-01-25T17:36:34,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-26,1.7,-4,-1.1,1.7,-6.3,-2.1,-4.3,79.2,0.031,100,4.17,"rain,snow",0,0,24.1,10.7,91.3,1015.4,84.5,5.3,95.7,8.3,5,,2013-01-26T08:09:01,2013-01-26T17:38:00,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-27,5.1,-0.4,2.7,4.7,-2.9,1.1,0.2,84.1,6.709,100,37.5,rain,0,0,25,13.5,145.4,1014.4,92.4,10.3,47.9,4.3,2,,2013-01-27T08:07:59,2013-01-27T17:39:27,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-28,8.3,2,4.2,8.3,-0.5,3.5,2.6,89.7,9.402,100,33.33,rain,0,0,31.7,9.4,39.1,1020.1,67.4,12.1,47.1,4,2,,2013-01-28T08:06:56,2013-01-28T17:40:54,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-29,8.9,1.5,5.5,8.6,-0.7,4,2.5,81.9,0.247,100,12.5,rain,0,0,31.7,13.7,138,1025.8,93.8,21.7,55.1,4.8,2,,2013-01-29T08:05:50,2013-01-29T17:42:22,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-30,17.6,6.2,10.8,17.6,3.7,10,6.2,74.7,0.44,100,16.67,rain,0,0,33.7,14.9,166.3,1024.1,78.6,29.7,80.2,6.8,3,,2013-01-30T08:04:43,2013-01-30T17:43:50,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-31,13.2,3.1,7.9,13.2,1.1,7.5,4.6,81.1,0.004,100,4.17,rain,0,0,51.3,12.9,150.6,1027.1,57,32.2,82.3,7.2,5,,2013-01-31T08:03:33,2013-01-31T17:45:18,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-01,13.4,6.8,10.1,13.4,5.1,9.7,5.7,75.1,1.061,100,33.33,rain,0,0,59.4,31.5,178.3,1012.5,99.1,32.8,59.5,5.2,4,,2013-02-01T08:02:22,2013-02-01T17:46:46,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-02,12.3,2.6,5.9,12.3,-4,1.6,1.6,74.3,3.509,100,54.17,rain,0,0,74.2,42.4,343.2,1005.1,94,41.2,72,6.2,4,,2013-02-02T08:01:09,2013-02-02T17:48:14,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-03,4.4,0.2,2.7,0.6,-4.8,-2,-3.2,65.5,0,0,0,,0,0,72.4,39.7,350,1023.7,83.1,50.1,86.5,7.4,4,,2013-02-03T07:59:54,2013-02-03T17:49:43,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-04,6.7,-0.3,3.4,5.5,-2.8,1.9,1.8,89.1,1.845,100,41.67,"rain,snow",0,0,21.2,11.2,154.1,1025,99.4,9.4,49.5,4.3,2,,2013-02-04T07:58:37,2013-02-04T17:51:12,0.79,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-05,12.1,2.7,7,12.1,-1.3,6,3,77.6,4.709,100,50,rain,0,0,66.1,30.4,238.2,1015,84.9,28.1,81,7,4,,2013-02-05T07:57:19,2013-02-05T17:52:40,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-06,6.6,0.9,2.9,3.7,-2.9,-0.8,-0.6,78.3,1.194,100,41.67,"rain,snow",0,0,45.5,30.2,255.5,1006,84.5,44.2,57,5,3,,2013-02-06T07:55:59,2013-02-06T17:54:09,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-07,4.1,-0.2,1.5,-0.2,-4,-2.1,-1.1,83.9,2.274,100,50,"rain,snow",0.5,0.3,50.1,28.5,349.4,1015.3,93.5,27.1,72.3,6.3,3,,2013-02-07T07:54:37,2013-02-07T17:55:38,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-08,1.3,-2.7,-0.4,0.7,-3.8,-2.1,-1.9,89.7,0.684,100,20.83,"rain,snow",0,0.5,32.9,20.1,352.3,1017,69.8,10.8,68.1,5.9,3,,2013-02-08T07:53:14,2013-02-08T17:57:07,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-09,2.4,-4.2,-0.9,0.7,-5,-2.2,-3.9,81.4,0.289,100,41.67,"rain,snow",0,0.5,20.1,11.6,341.1,1020.2,80,15.8,94.2,8,4,,2013-02-09T07:51:49,2013-02-09T17:58:35,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-10,1.8,-3.3,-0.6,-1.5,-5.7,-4.1,-2.6,86.4,0.955,100,12.5,"rain,snow",0,0.5,48.5,25.4,162.5,1011.9,87,12.6,79.5,6.9,3,,2013-02-10T07:50:23,2013-02-10T18:00:04,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-11,5.4,1,2.7,5.2,-4.2,0.9,1.1,89.3,5.673,100,66.67,"rain,snow",0,0.2,34.8,21.9,144.3,1000.1,99,18.5,29.5,2.5,1,,2013-02-11T07:48:55,2013-02-11T18:01:32,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-12,3.5,1,2.1,2.2,-3.1,-0.6,0.7,90.7,3.691,100,58.33,"rain,snow",0,0,27.7,17.9,350.6,1008.7,100,8.9,63.6,5.4,3,,2013-02-12T07:47:26,2013-02-12T18:03:01,0.07,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-13,0.9,-2.1,-0.4,-3.1,-6.3,-5.1,-5.5,68.3,0.004,100,4.17,"rain,snow",0,0,40.3,21.2,356.9,1021.9,93.3,11.9,140.1,12,6,,2013-02-13T07:45:56,2013-02-13T18:04:29,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"LFLS,07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-14,3.1,-5.3,-1,0.8,-6.1,-2.6,-4.8,76.1,1.155,100,16.67,"rain,snow",0,0,27.4,13.4,134.3,1023.2,70.3,7.7,114.4,9.8,5,,2013-02-14T07:44:24,2013-02-14T18:05:57,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-15,8.1,0.6,3.8,7.4,-1.4,2.5,1.6,85.5,1.457,100,33.33,"rain,snow",0,0,23.3,13,32.5,1021.1,90.5,17.7,54.2,4.8,2,,2013-02-15T07:42:51,2013-02-15T18:07:25,0.17,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-16,5.8,0.7,2.7,3.2,-1.5,1.3,0.9,88.5,0,0,0,,0,0,21.2,13.3,31,1023.8,83.1,8.3,123.2,10.6,5,,2013-02-16T07:41:16,2013-02-16T18:08:53,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-17,2.5,-0.2,1.3,1.9,-2.4,-0.1,-0.4,88.5,0,0,0,,0,0,18.6,12.4,12.7,1020.4,95,5.7,145,12.4,6,,2013-02-17T07:39:41,2013-02-17T18:10:20,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-18,5,-0.9,1.2,5,-3.3,0.3,-1.5,82.7,0,0,0,,0,0,20.5,7.6,42,1018.9,77.8,6.2,120.5,10.3,5,,2013-02-18T07:38:04,2013-02-18T18:11:47,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-19,7.7,-2.4,1,7.3,-3.7,0.8,-1.5,84.7,0,0,0,,0,0,20.5,7.6,19.4,1018.9,12.5,4.3,147.6,12.7,6,,2013-02-19T07:36:26,2013-02-19T18:13:14,0.29,Clear,Clear conditions throughout the day.,clear-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-20,3.9,-2.2,0.3,2.5,-5.4,-1.5,-1.4,88.5,0,0,0,,0,0,25.4,17.3,12.6,1016.5,42.9,3.8,152.5,13.1,6,,2013-02-20T07:34:47,2013-02-20T18:14:41,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-21,2,-1.8,0.3,-1.3,-6.3,-3.6,-4.4,71.1,0,0,0,,0,0,26.4,16.9,339.4,1013.4,88.6,17.6,149.1,12.7,6,,2013-02-21T07:33:07,2013-02-21T18:16:07,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-22,0.1,-3.7,-1.5,-4.5,-8.9,-6.8,-6.9,67.4,0,0,0,,0,0,37.1,23.2,343.6,1007.7,87.2,15.7,109.6,9.3,5,,2013-02-22T07:31:26,2013-02-22T18:17:33,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-23,-1.2,-3.7,-2.5,-7.8,-10.4,-9,-7.6,68.2,0,0,0,,0,0,51.1,31.4,347.6,1008.3,98.6,7.9,100.4,8.5,4,,2013-02-23T07:29:43,2013-02-23T18:18:59,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"07475099999,LFLY,07481099999,LFMH,LFLL,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-24,-0.6,-3.2,-2.3,-6,-9.7,-8.1,-6,75.9,0.004,100,4.17,"rain,snow",0,0,42.5,27.9,345.7,1014.3,97.6,5.5,69.9,6.1,3,,2013-02-24T07:28:00,2013-02-24T18:20:25,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"07475099999,LFLY,07481099999,LFMH,LFLL,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-02-25,1.6,-3.7,-1.6,-1.7,-7.9,-3.8,-5.2,77.1,0.02,100,16.67,snow,0,0,29.1,12.6,354.2,1019.5,85.5,6.1,134,11.7,5,,2013-02-25T07:26:17,2013-02-25T18:21:50,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-26,4.2,-5.8,-0.8,1.1,-5.8,-2.2,-5.3,73.1,0,0,0,,0,0,26.3,16.5,348.4,1024.6,15.7,4.8,156,13.6,6,,2013-02-26T07:24:32,2013-02-26T18:23:15,0.52,Clear,Clear conditions throughout the day.,clear-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-27,3,-3.2,0,3,-3.2,-0.3,-2.9,81,0,0,0,,0,0,12.5,8.2,129.1,1027.1,76.8,3.7,161.4,13.9,6,,2013-02-27T07:22:46,2013-02-27T18:24:40,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-02-28,7.5,-4.7,0.6,6.8,-4.7,-0.1,-2.8,79.6,0,0,0,,0,0,16.6,11.2,7.3,1024.6,11.1,3.3,165.1,14.2,6,,2013-02-28T07:21:00,2013-02-28T18:26:04,0.59,Clear,Clear conditions throughout the day.,clear-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-03-01,3.9,-3.1,0.6,1.2,-3.7,-1.9,-1.5,86.4,0,0,0,,0,0,37.1,20.8,0.3,1021.5,78.6,3.4,138.2,12.1,6,,2013-03-01T07:19:12,2013-03-01T18:27:28,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-03-02,4,1.8,2.8,3.3,-1.6,0.8,-1.5,73.9,0,0,0,,0,0,22.6,14,347.6,1022.3,99.9,6.2,130.5,11.4,5,,2013-03-02T07:17:25,2013-03-02T18:28:52,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-03-03,7.7,0.2,3.6,6.5,0.2,3.1,-1.1,72.1,0,0,0,,0,0,15.4,10.8,354.3,1020.2,57.7,6.9,158,13.7,6,,2013-03-03T07:15:36,2013-03-03T18:30:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
